PANGAEA ID,PANGAEA Name,PANGAEA Unit,SDN Unit URN,SDN Unit Name,SDN P01 ID,SDN P01 Name,SDN P01 URI,CF standard name,CF unit,EMODNET,EMODNET long name
1599,DATE/TIME,,SDN:P06::UTAA,Days,SDN:P01::CJDY1101,Julian Date (chronological),http://vocab.nerc.ac.uk/collection/P01/current/CJDY1101,time,,TIME,Time
1600,LATITUDE,,SDN:P06::DEGN,Degrees north,SDN:P01::ALATZZ01,Latitude north,http://vocab.nerc.ac.uk/collection/P01/current/ALATZZ01,latitude,,LATITUDE,Latitude of each location
1601,LONGITUDE,,SDN:P06::DEGE,Degrees east,SDN:P01::ALONZZ01,Longitude east,http://vocab.nerc.ac.uk/collection/P01/current/ALONZZ01,longitude,,LONGITUDE,Longitude of each location
1619,"DEPTH, water",m,SDN:P06::ULAA,Metres,SDN:P01::ADEPZZ01,Depth (spatial coordinate) relative to water surface in the water body,http://vocab.nerc.ac.uk/collection/P01/current/ADEPZZ01,depth,m,DEPH,Depth
2268,"Depth, bathymetric",m,SDN:P06::ULAA,Metres,SDN:P01::BATHDPTH,Sea-floor depth (below mean sea level) {bathymetric depth},http://vocab.nerc.ac.uk/collection/P01/current/BATHDPTH,depth,m,DEPH,Depth
8128,ELEVATION,m,SDN:P06::ULAA,Metres,SDN:P01::AHSLZZ01,Height (spatial coordinate) relative to sea level,https://vocab.nerc.ac.uk/collection/P01/current/AHSLZZ01,altitude,m,,
715,"Pressure, water",dbar,SDN:P06::UPDB,Decibars,SDN:P01::PRESPR01,"Pressure (spatial coordinate) exerted by the water body by profiling 
pressure sensor and correction to read zero at sea level",http://vocab.nerc.ac.uk/collection/P01/current/PRESPR01,sea_water_pressure,bar,PRES,Sea pressure
717,"Temperature, water",°C,SDN:P06::UPAA,Degrees Celsius,SDN:P01::TEMPPR01,Temperature of the water body,http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01,sea_water_temperature,Celsius,TEMP,Sea temperature
716,Salinity,,SDN:P06::UUUU,Dimensionless,SDN:P01::PSLTZZ01,Practical salinity of the water body,http://vocab.nerc.ac.uk/collection/P01/current/PSLTZZ01,sea_water_practical_salinity,1,PSAL,Practical salinity
1882,Conductivity,mS/cm,SDN:P06::MSPM,MilliSiemens per centimetre,SDN:P01::CNDCZZ01,Electrical conductivity of the water body,http://vocab.nerc.ac.uk/collection/P01/current/CNDCZZ01,sea_water_electrical_conductivity,msiemens cm-1,CNDC,Electrical conductivity
796,"Density, sigma-theta(0)",kg/m**3,SDN:P06::UKMC,Kilograms per cubic metre,SDN:P01::SIGTEQ01,"Sigma-theta of the water body by computation from salinity and potential 
temperature using UNESCO algorithm",http://vocab.nerc.ac.uk/collection/P01/current/SIGTEQ01,sea_water_sigma_theta,kg m-3,DENS,Sea density (sigma-theta)
128536,Sound velocity in water,m/s,SDN:P06::UVAA,Metres per second,SDN:P01::SVELXXXX,Sound velocity in the water body,http://vocab.nerc.ac.uk/collection/P01/current/SVELXXXX,speed_of_sound_in_sea_water,m s-1,SVEL,Sound velocity
1880,"Current velocity, horizontal",cm/s,SDN:P06::UVBB,Centimetres per second,SDN:P01::LCSAZZ01,Speed of water current (Eulerian measurement) in the water body,http://vocab.nerc.ac.uk/collection/P01/current/LCSAZZ01,sea_water_speed,cm s-1,HCSP,Horizontal current speed
1881,Current direction,deg,SDN:P06::UAAA,Degrees,SDN:P01::LCDAZZ01,Direction (towards) of water current in the water body,http://vocab.nerc.ac.uk/collection/P01/current/LCDAZZ01,direction_of_sea_water_velocity,degree,HCDT,Current to direction relative true north
4544,"Current velocity, east-west",cm/s,SDN:P06::UVBB,Centimetres per second,SDN:P01::LCEWZZ01,Eastward velocity of water current in the water body,http://vocab.nerc.ac.uk/collection/P01/current/LCEWZZ01,eastward_sea_water_velocity,cm s-1,EWCT,West-east current component
4548,"Current velocity, north-south",cm/s,SDN:P06::UVBB,Centimetres per second,SDN:P01::LCNSZZ01,Northward velocity of water current in the water body,http://vocab.nerc.ac.uk/collection/P01/current/LCNSZZ01,northward_sea_water_velocity,cm s-1,NSCT,South-north current component
